1322652600000,150
1322654400000,121
1322656200000,185
1322658000000,196
1322659800000,153
1322661600000,132
1322663400000,106
1322665200000,138
1322667000000,96
1322668800000,93
1322670600000,98
1322672400000,86
1322674200000,106
1322676000000,73
1322677800000,108
1322679600000,73
1322681400000,148
1322683200000,200
1322685000000,197
1322686800000,297
1322688600000,431
1322690400000,230
1322692200000,247
1322694000000,164
1322695800000,214
1322697600000,201
1322699400000,273
1322701200000,238
1322703000000,127
1322704800000,149
1322706600000,98
1322708400000,84
1322710200000,98
1322712000000,60
1322713800000,104
1322715600000,64
1322717400000,97
1322719200000,67
1322721000000,87
1322722800000,80
1322724600000,83
1322726400000,84
1322728200000,70
1322730000000,80
1322731800000,74
1322733600000,282
1322735400000,67
1322737200000,101
1322739000000,53
1322740800000,121
1322742600000,139
1322744400000,177
1322746200000,124
1322748000000,141
1322749800000,118
1322751600000,142
1322753400000,126
1322755200000,94
1322757000000,77
1322758800000,92
1322760600000,56
1322762400000,113
1322764200000,60
1322766000000,114
1322767800000,147
1322769600000,213
1322771400000,264
1322773200000,348
1322775000000,207
1322776800000,195
1322778600000,235
1322780400000,143
1322782200000,182
1322784000000,190
1322785800000,196
1322787600000,175
1322789400000,126
1322791200000,152
1322793000000,104
1322794800000,154
1322796600000,117
1322798400000,118
1322800200000,80
1322802000000,87
1322803800000,87
1322805600000,77
1322807400000,87
1322809200000,77
1322811000000,88
1322812800000,79
1322814600000,76
1322816400000,377
1322818200000,84
1322820000000,70
1322821800000,65
1322823600000,66
1322825400000,66
1322827200000,71
1322829000000,128
1322830800000,103
1322832600000,78
1322834400000,99
1322836200000,117
1322838000000,115
1322839800000,124
1322841600000,121
1322843400000,128
1322845200000,126
1322847000000,87
1322848800000,236
1322850600000,494
1322852400000,191
1322854200000,201
1322856000000,226
1322857800000,179
1322859600000,379
1322861400000,238
1322863200000,185
1322865000000,201
1322866800000,182
1322868600000,115
1322870400000,140
1322872200000,147
1322874000000,137
1322875800000,125
1322877600000,128
1322879400000,127
1322881200000,125
1322883000000,123
1322884800000,126
1322886600000,121
1322888400000,108
1322890200000,88
1322892000000,78
1322893800000,79
1322895600000,82
1322897400000,80
1322899200000,79
1322901000000,78
1322902800000,257
1322904600000,88
1322906400000,86
1322908200000,104
1322910000000,78
1322911800000,84
1322913600000,101
1322915400000,83
1322917200000,131
1322919000000,90
1322920800000,138
1322922600000,114
1322924400000,128
1322926200000,110
1322928000000,186
1322929800000,163
1322931600000,178
1322933400000,65
1322935200000,144
1322937000000,150
1322938800000,179
1322940600000,220
1322942400000,186
1322944200000,405
1322946000000,185
1322947800000,229
1322949600000,197
1322951400000,180
1322953200000,75
1322955000000,139
1322956800000,115
1322958600000,185
1322960400000,112
1322962200000,128
1322964000000,128
1322965800000,109
1322967600000,118
1322969400000,123
1322971200000,126
1322973000000,114
1322974800000,125
1322976600000,127
1322978400000,104
1322980200000,58
1322982000000,85
1322983800000,83
1322985600000,79
1322987400000,58
1322989200000,109
1322991000000,385
1322992800000,78
1322994600000,58
1322996400000,80
1322998200000,83
1323000000000,74
1323001800000,66
1323003600000,80
1323005400000,94
1323007200000,107
1323009000000,131
1323010800000,141
1323012600000,138
1323014400000,126
1323016200000,122
1323018000000,137
1323019800000,147
1323021600000,139
1323023400000,148
1323025200000,142
1323027000000,132
1323028800000,142
1323030600000,185
1323032400000,255
1323034200000,353
1323036000000,176
1323037800000,183
1323039600000,177
1323041400000,168
1323043200000,166
1323045000000,165
1323046800000,120
1323048600000,121
1323050400000,123
1323052200000,123
1323054000000,123
1323055800000,123
1323057600000,109
1323059400000,111
